,2004_180,2004_120,2004_70,2004_201,2004_60,2004_12,2004_20,2004_10,2004_81,2004_80,2004_130,2004_151,2004_61,2004_140,2004_121,2004_210,2004_122,2004_190,2004_153,2004_90,2004_62,2004_40,2004_170,2004_200,2004_82,2004_50,2004_72,2004_202,2004_220,2004_71,2004_110,2004_160,2004_30,2004_150,2004_11,2004_152
37,54552.422197349544,48841251.44335082,0.0,0.0,517153.9145460807,0.0,3495.192514023437,4918405.710513479,0.0,0.0,12908992.751029499,0.0,1493.8452309874133,0.0,0.0,0.0,35634.231713569374,0.0,0.0,0.0,749165.995884767,672898.0646956178,0.0,1427.7757810479602,0.0,0.0,0.0,0.0,0.0,0.0,7483529.241119615,0.0,152706.43106479562,1048.3855856904659,2411456.840580806,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15795.19750621962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11500.737380011913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,110562655.618153,4110847837.9560285,0.0,178.1220523187934,56863748.760913305,9076.979285900969,7898.874034287713,19978766.37393664,0.0,0.0,23355851.404631916,0.0,2598.4819229722225,0.0,0.0,0.0,1142261.2345208635,0.0,628.1722834068769,0.0,479431218.09738296,21300287.718867175,0.0,1819037.1284611602,0.0,0.0,0.0,32518.816467292832,0.0,0.0,20356457.201846685,0.0,57921596.56544781,266664.566221715,3174007.9347047578,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.17489795172045,0.0,0.0,0.0,0.0,0.0,583.3488183034639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.64054426625193,0.0,0.0,0.0,2502.9369627617434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,191784.46765313277,60284690.75221743,0.0,0.0,11225736.24099266,0.0,103197.00275276462,17055857.997307487,0.0,0.0,8306.89717307581,0.0,0.0,0.0,0.0,0.0,12096991.676088177,0.0,0.0,0.0,586884680.7071494,55415268.71896881,67960.64970744116,132.20151638148633,0.0,23070911.44680783,0.0,0.0,0.0,0.0,20429.05137116182,0.0,114613936.00681095,151.0700976535494,275438.0375189215,0.0
42,7032050.3309492795,8020911.128139201,0.0,9292.921437822957,4196010.381268492,0.0,281.76806065327213,18202282.04084469,0.0,0.0,103362.20224975691,0.0,0.0,0.0,0.0,0.0,299508.146196666,0.0,0.0,0.0,325933408.73866856,165941101.01385492,87250531.0314766,1051.443489710612,0.0,189806377.59170467,0.0,0.0,0.0,0.0,9809462.94242373,304958.7710422242,224889457.8635276,0.0,7780292.187587466,0.0
43,53999190.81666273,522340299.3338481,0.0,1740.4952448495735,13018460.226838665,91.89689241229021,2742584.0204005237,41172803.91865633,0.0,0.0,9991538.952659715,0.0,811253.7394688147,0.0,0.0,0.0,46590293.1022067,0.0,26895.53219319501,0.0,522846955.6078432,44442698.79276458,51117245.08574643,15021.641053649404,0.0,73278.04773189995,0.0,0.0,0.0,0.0,699741.213711734,4764595.101170154,81781028.67501731,26918.535297818096,4995713.44771057,100570.80947425973
44,11107956.196322074,41411046.62991207,0.0,1765.0604570269584,239103.73509003644,0.0,497179.1726082907,32063303.742051758,0.0,0.0,4708778.706717337,0.0,0.0,0.0,0.0,0.0,2275266.2514288398,0.0,1220.4351682512297,0.0,13449447.848856704,37084353.609611034,41568.02838918229,594.1621939912472,0.0,146800.71418278667,0.0,0.0,0.0,0.0,545988.3248144088,0.0,61824723.082794555,0.0,2733835.69154907,74.27412257118057
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15444742.02544543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,1808.782734227865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3722475.0044905227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,181406.94298929983,0.0,11760.415205683788,0.0,0.0,0.0,0.0,0.0,0.0,25068.79754178646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.358919595052,0.0,0.0,46899.873963096354,0.0,17030784.027032316,0.0,0.0,0.0,3008.247387911868,0.0,0.0,0.0,0.0,0.0,5817.9493041693195,0.0,2319.524439165365
48,917933.9178267955,2344452.339119919,0.0,0.0,332251.12593760126,0.0,0.0,10699926.774561673,0.0,0.0,17229.091778431182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5320900.750158995,60660344.85312644,9634863.592255533,0.0,0.0,1734463238.24225,0.0,0.0,0.0,0.0,230668.69016691382,0.0,314609246.5793367,0.0,21398289.04624464,0.0
