,2009_100,2009_20,2009_11,2009_152,2009_130,2009_160,2009_40,2009_201,2009_60,2009_210,2009_220,2009_10,2009_81,2009_110,2009_61,2009_90,2009_150,2009_71,2009_121,2009_50,2009_82,2009_200,2009_190,2009_70,2009_30,2009_151,2009_120,2009_140
125,17016.47647985905,0.0,781446.7495814401,0.0,120768.26575963324,14782.831055920573,49609.026727639,0.0,379049.2077095044,0.0,0.0,7263.701714521605,0.0,172.27763138834638,11670.390170232544,0.0,1491.078540640842,0.0,0.0,0.0,0.0,624.1297009022956,0.0,9599.992243655288,5500.104235409831,0.0,0.0,0.0
126,688753593.5184147,7993363.478373685,9339662.390186558,0.0,6500183.930474685,0.0,297214615.52145314,637.9319600837432,591495020.2417158,0.0,0.0,87830946.25503704,0.0,3093640.3062913655,4282638.192836109,0.0,3666.2784665913873,0.0,257038143.14646685,2643442210.947752,0.0,1503.3339633407118,0.0,872553347.4760665,91174250.54129103,0.0,140515542.182895,0.0
127,224524644.74048153,8956216.173219686,6148302.740666642,0.0,1329998.0270627441,404606.020204866,62083034.09377799,204.03210256787713,337455383.44593394,0.0,0.0,50604681.94769063,0.0,156345.96528458697,150949.48659558196,4826.609372707357,1153.4668569748987,0.0,27098690.165568218,919005688.2335706,0.0,891.8789055420647,0.0,12972397.532626364,66340930.932552174,0.0,12574068.470631642,0.0
128,95296055.74297433,11130428.503120119,3106997.884206421,0.0,435651.88273924903,0.0,110303610.12361695,0.0,16930497.474303234,0.0,0.0,23910596.735440332,0.0,485000.0685614842,1318239.5075584734,0.0,640.5775268181907,0.0,147170114.8599495,718617992.4164009,0.0,72.18375177066454,0.0,91313666.9867864,105735143.56139776,0.0,76117780.90022825,0.0
129,437920684.36158615,1255763.1982995642,1820601.69222586,0.0,802121.0368789304,2877.5947665400754,116389667.61153468,0.0,51187980.73158322,0.0,0.0,21908417.899162166,0.0,1649561.266920985,8489039.647674646,0.0,0.0,0.0,294773968.0023011,2082511753.3111918,0.0,0.0,0.0,112374709.60774253,85371326.3990764,0.0,131909919.73440848,0.0
130,0.0,0.0,4540.617707851261,0.0,0.0,234081.4124969225,598031.8749552462,0.0,0.0,0.0,0.0,57030.92290682235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41369944.93510722,0.0,0.0,0.0,0.0,2834801.801214554,0.0,0.0,0.0
131,371470681.7159936,12162145.797458697,15278042.749498494,0.0,1202282.22283331,0.0,133332391.00571765,0.0,199780269.27795923,0.0,0.0,116055055.15501094,0.0,35365.969363993565,327620.50551235344,0.0,0.0,0.0,105811648.16312766,479505034.1789545,0.0,0.0,0.0,158402056.66255292,80423548.74686679,0.0,26025520.050727963,0.0
132,0.0,1798.6639850701076,133354.78003942006,0.0,0.0,10855545.63141139,4660228.095429301,0.0,0.0,0.0,0.0,107713.13642718027,0.0,0.0,0.0,0.0,681.5623926713446,0.0,0.0,206929216.94531694,0.0,0.0,0.0,0.0,5254235.749324943,0.0,18289.255839058824,0.0
133,8411.015313622287,213589.4676864928,22413110.746952888,0.0,440.48257384731875,22804679.580785017,110238050.66604552,0.0,0.0,0.0,0.0,5228441.020470541,0.0,15870.81522058057,0.0,0.0,701719.1273438534,0.0,0.0,1021524387.4618478,0.0,0.0,0.0,0.0,286757931.8684789,0.0,23414.27298228858,0.0
134,0.0,0.0,189.92626709202895,0.0,0.0,1440168.8392475813,158118.3005351518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56889341.23535322,0.0,0.0,0.0,0.0,438027.4882355314,0.0,0.0,0.0
