GID,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
36,Swaziland,57524619.183657,56203650.6006572,55532660.3456992,54593973.822825,54383461.7754215,55035353.5043175,53439407.383494,53938900.6300562,54321998.0527141,53593980.0589648,53670061.0822047,53829523.3226272,53488003.4557867,53654985.3151829,54169190.7805174,54385210.6948078,54193553.083693,54228289.6430056,,
37,Lesotho,44764814.3781458,44756654.8240466,44738677.5793743,44718610.8259924,44704399.506494,44709321.3888595,44671783.4733668,44686203.7033288,44675513.5080966,44660953.8247563,44644146.0199949,44642370.4234943,44603758.1713481,44569250.0736871,44569653.2720184,44505054.0652609,44534425.7698935,44678811.0868367,,
38,South Africa,3927566139.64894,3922450426.74957,3918271756.09025,3913821050.81814,3907050676.72049,3909461127.90799,3902379563.59984,3901184575.08597,3899277606.10701,3895653401.26973,3896345374.7246,3893626704.52193,3891513077.0968,3887082550.08783,3889454446.71115,3890297545.27218,3886258468.91224,3881700918.22957,,
39,Botswana,2474890617.87008,2479354028.01584,2484359442.08627,2485566408.58702,2487862755.19636,2483331119.80556,2486432377.89378,2476779381.16037,2489967982.59255,2477460245.70646,2467584492.00494,2481651318.77135,2481850081.93483,2486594495.87979,2487816301.50318,2488756263.21283,2484472879.75077,2491520130.10785,,
40,"Saint Helena, Ascension and Tristan da Cunha (U.K.)",9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,9189.3788856737,,
41,Togo,442052090.702958,422805828.34456,424588340.759822,440870590.047067,412691543.715251,430280716.081456,438253326.851542,432634605.851339,432025505.081982,432397196.224406,416610947.412439,435638517.886452,436460048.951864,441436489.102085,430082899.449851,433075412.084755,436318277.753576,451133723.509565,,
42,Sierra Leone,550358825.936289,546837214.524675,537442982.235329,536482616.657489,533465152.904099,532825187.342204,523227610.037664,541551168.148667,552352733.669838,538372355.229672,538505522.787587,532666364.377946,530270767.279477,540559146.232121,534243882.401183,521599483.17263,532198086.498616,539108339.689936,,
43,Senegal,765173735.539525,750788231.474395,809828381.85836,770929726.994596,771212175.10767,761186106.716268,781985476.209721,780171326.147243,783493293.400405,776417773.77512,765686922.072773,788474752.222653,775512820.547967,763068335.983622,796553487.100695,765213439.408777,768187171.321634,783302546.210721,,
44,Nigeria,4632592870.65272,4557183287.22329,4500698194.30702,4678178848.18436,4488899678.41237,4640760765.95723,4652230007.15838,4622363074.39502,4681154914.86924,4558617030.8057,4620406495.19917,4607574001.91421,4571051426.82853,4602228750.78425,4591995756.68012,4538726993.01364,4636973369.78609,4718738524.11567,,
45,Niger,396861191.460802,395790497.031347,396349950.1115,396754207.120482,396864758.542729,396769836.178381,396752460.938748,396680281.973957,396620343.133283,396723240.671791,396964882.610718,397287651.775273,397361474.498486,397603782.863487,397604183.250525,398208500.079404,398646251.215198,401845973.810615,,
46,Mauritania,233115662.172651,232997472.981486,233139541.477726,233602416.480384,233454644.281831,232999632.896883,232986192.169046,233086163.555804,232569240.167581,231702204.364444,230584771.287119,230701042.589665,230693396.396799,230797719.909328,230797114.442011,230958014.710547,230907575.656556,231049227.463181,,
47,Mali,1227841876.82484,1209633842.02272,1222500967.97217,1212932653.75056,1205298884.23711,1214198098.78339,1222373469.55655,1213957103.14905,1222403545.38305,1222766210.70623,1217808911.6878,1229156941.26254,1224757442.71768,1220359670.8783,1235478103.32959,1204820393.55169,1228240890.97878,1242241544.9922,,
48,Liberia,1090798908.31861,1106375275.77808,1108365303.49364,1083334504.89341,1083063193.35791,1080960615.69724,1082138190.11697,1082694355.19798,1072916302.1281,1076940138.80652,1073162451.34817,1075919125.07631,1076148209.97362,1067663171.13131,1056203895.43722,1073770707.00088,1073348810.78856,1076237232.95955,,
49,Guinea-Bissau,351627451.196493,346790850.354018,348517800.918935,354694714.931009,359665551.43959,349537060.018725,354147554.28707,368685460.732318,365577701.930672,358292858.024343,361419943.46191,347998582.200342,359544312.641174,352016093.128638,347983922.917113,357734616.753486,355341507.135218,350940228.13818,,
50,The Gambia,42017195.8861045,41776172.3469837,43248638.1786416,43236769.0674218,42962876.5915218,42803342.75597,43337493.6150118,44074738.834989,43780412.8420233,41048306.2691824,40942203.4568546,42317279.4111456,42268864.940709,42601161.5124546,42529135.910532,42213094.3019587,42108775.2724809,42567989.7001669,,
51,Guinea,2746394569.24237,2653196556.90889,2695580917.24258,2743451591.84031,2672659111.97757,2698197982.45204,2728420604.93432,2691002938.71037,2720721280.69685,2727827186.56899,2710227891.9348,2663183518.52926,2681412921.4877,2709779780.57,2753557451.39089,2591977815.30447,2692957829.46322,2775510642.48491,,
52,Ghana,1533146585.48018,1454693198.94231,1419466763.92371,1534161894.54468,1415019334.41347,1446132624.88618,1482270213.32343,1496575669.26856,1521414466.85799,1519644163.42015,1445881363.65252,1511363353.9339,1471648310.3262,1497148173.75814,1479066801.33473,1513637021.82193,1513544730.96339,1550905008.72552,,
53,Cape Verde,237119.891611263,236936.360449141,236881.684071532,236863.446154042,236836.80290273,236535.750663909,235879.509120307,235241.259924288,235340.825535114,234886.09310458,234422.226076456,234184.829588409,234184.791347401,234093.790489805,234048.297475623,233791.34446733,233791.34446733,233600.277286266,,
54,C̫te d'Ivoire,2492222436.50955,2355037808.6274,2365609052.99674,2489113397.92373,2348126628.98725,2378052139.81976,2391889152.1761,2414555060.54938,2421911453.10415,2423106879.47581,2397356978.87916,2413651291.75193,2381690068.49869,2466049437.73943,2457079764.65444,2410220087.58177,2465474812.52268,2487480707.81188,,
55,Burkina Faso,507515020.881501,490882295.327873,493226945.658874,492207555.159495,487866367.832704,488711755.143656,487983435.056604,489144469.680674,488365338.445928,484670066.830438,486303900.264918,487224597.357688,486893591.990621,490822023.299739,493709746.580517,487023077.785241,490308125.576237,498255642.710846,,
56,Benin,815710328.617162,750696862.259671,776327539.815896,799763300.32402,745548737.150583,780400711.55706,781132966.9634,806357503.418224,798755190.764053,808690025.982103,797330691.408298,802659252.092972,798392977.839814,816583284.486777,813272567.395605,816602489.792498,835490427.803927,851577140.444454,,
57,Dominica,10830940.0927139,12013166.6391478,12244205.8188377,12301438.1401868,12305590.9752015,12306127.8317787,12252977.9420258,12295436.9541174,12272974.1531314,12304499.1199346,12223317.3894272,12280980.0879772,12066811.4536959,12185747.8964376,12238943.0580656,11996381.0789189,12175710.9167757,12038734.8375962,,
58,Dominican Republic,431386195.538995,432887893.733444,435762709.83355,440687842.97767,440387354.642904,442023862.502018,444116458.675994,446328502.843469,448048259.105501,447351723.365356,446569341.088818,446543556.887843,446243912.33955,445137863.558158,444525255.382748,445185169.460089,445164419.190319,445050249.364362,,
59,Cayman Islands (U.K.),2169280.60693506,2188671.52432991,2205795.03682528,2204553.32524559,2194183.81013323,2187289.89225688,2191466.86996842,2191370.31811429,2186691.86779412,1919631.92162463,2104027.51148166,2009467.97161103,2050556.55469932,2051438.43556017,2051346.03548722,2037646.0661805,2036321.08726827,2039898.93398056,,
60,Antigua and Barbuda,2835321.04288142,2848085.65753428,2883179.22832361,2908748.90648419,2904103.66782451,2898744.07935881,2908458.19172453,2908045.79621897,2923579.70385872,2881003.28425371,2870063.61916328,2855456.53404818,2886339.31603886,2689098.49301848,2690116.96728745,2684352.34476573,2686815.10892692,2636134.2558314,,
61,Cuba,821044227.76884,820553001.338465,823247316.852498,820245503.710648,818673508.26812,818965372.274071,822391574.927245,823254386.766921,820514639.158301,807182429.924945,806503792.284218,807971180.288052,809664187.371433,809784473.796068,808256034.412301,809053215.552319,807349218.080657,808227429.664433,,
62,Grenada,4347230.81028928,4925641.4992239,5080695.05963856,5078317.58105313,5077711.25078567,5070063.67987653,5068890.02542783,5068143.18644501,5056319.52823585,5068764.91030465,5053400.36229492,5054424.12070972,5061476.90846905,5054230.77480621,5057816.63415179,5053050.02080928,5030025.73148767,5058713.17199189,,
63,Jamaica,149898366.406583,152181326.556726,153104245.750451,152722821.595674,152417274.353493,152268134.532406,152194051.925578,152075171.332464,151742244.94144,150923801.78352,150932315.977074,150545068.583721,150241635.827931,149068447.510182,148985022.569023,148882692.363658,148739812.484705,148513143.085571,,
